(state,action)   init_cab_pos    next_cab_pos    psg_spawn_idx0    psg_spawn_idx1    psg_dest_idx0    psg_dest_idx1    reward
(0,south)	 (0,0) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -1
(52,west)	 (2,0) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -1
(52,pickup)	 (2,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -5
(52,dropoff)	 (2,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -5
(53,south)	 (3,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -2
(53,north)	 (3,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -2
(53,east)	 (3,0) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -1
(53,west)	 (3,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -1
(53,pickup)	 (3,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -5
(53,dropoff)	 (3,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -5
(54,south)	 (4,0) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -1
(54,north)	 (4,0) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -2
(54,east)	 (4,0) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -2
(54,west)	 (4,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -1
(54,pickup)	 (4,0) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -5
(54,dropoff)	 (4,0) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -5
(55,south)	 (0,1) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -1
(55,north)	 (0,1) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -1
(55,east)	 (0,1) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -2
(55,west)	 (0,1) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -2
(55,pickup)	 (0,1) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -5
(55,dropoff)	 (0,1) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -5
(56,south)	 (1,1) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -1
(56,north)	 (1,1) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -1
(56,east)	 (1,1) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -2
(56,west)	 (1,1) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -2
(56,pickup)	 (1,1) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -5
(56,dropoff)	 (1,1) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -5
(57,south)	 (2,1) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -1
(57,north)	 (2,1) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -2
(57,east)	 (2,1) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -1
(57,west)	 (2,1) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -2
(57,pickup)	 (2,1) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -5
(57,dropoff)	 (2,1) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -5
(58,south)	 (3,1) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -1
(58,north)	 (3,1) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -2
(58,east)	 (3,1) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -2
(58,west)	 (3,1) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -1
(58,pickup)	 (3,1) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -5
(58,dropoff)	 (3,1) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -5
(59,south)	 (4,1) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -1
(59,north)	 (4,1) ---> (4,0)	 2 ---> 2	0 ---> 0 	 -1
(59,east)	 (4,1) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -2
(59,west)	 (4,1) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -2
(59,pickup)	 (4,1) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -5
(59,dropoff)	 (4,1) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -5
(60,south)	 (0,2) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -1
(60,north)	 (0,2) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -1
(60,east)	 (0,2) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -2
(60,west)	 (0,2) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -2
(60,pickup)	 (0,2) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -5
(60,dropoff)	 (0,2) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -5
(61,south)	 (1,2) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -2
(61,north)	 (1,2) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -1
(61,east)	 (1,2) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -2
(61,west)	 (1,2) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -2
(61,pickup)	 (1,2) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -5
(61,dropoff)	 (1,2) ---> (1,2)	 2 ---> 2	0 ---> 0 	 -5
(62,south)	 (2,2) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -1
(62,north)	 (2,2) ---> (2,1)	 2 ---> 2	0 ---> 0 	 -1
(62,east)	 (2,2) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -2
(62,west)	 (2,2) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -2
(62,pickup)	 (2,2) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -5
(62,dropoff)	 (2,2) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -5
(63,south)	 (3,2) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -1
(63,north)	 (3,2) ---> (3,1)	 2 ---> 2	0 ---> 0 	 -1
(63,east)	 (3,2) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -2
(63,west)	 (3,2) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -2
(63,pickup)	 (3,2) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -5
(63,dropoff)	 (3,2) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -5
(64,south)	 (4,2) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -1
(64,north)	 (4,2) ---> (4,1)	 2 ---> 2	0 ---> 0 	 -1
(64,east)	 (4,2) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -2
(64,west)	 (4,2) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -2
(64,pickup)	 (4,2) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -5
(64,dropoff)	 (4,2) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -5
(65,south)	 (0,3) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -2
(65,north)	 (0,3) ---> (0,2)	 2 ---> 2	0 ---> 0 	 -1
(65,east)	 (0,3) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -1
(65,west)	 (0,3) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -2
(65,pickup)	 (0,3) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -5
(65,dropoff)	 (0,3) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -5
(66,south)	 (1,3) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -1
(66,north)	 (1,3) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -2
(66,east)	 (1,3) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -1
(66,west)	 (1,3) ---> (0,3)	 2 ---> 2	0 ---> 0 	 -1
(66,pickup)	 (1,3) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -5
(66,dropoff)	 (1,3) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -5
(67,south)	 (2,3) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -2
(67,north)	 (2,3) ---> (2,2)	 2 ---> 2	0 ---> 0 	 -1
(67,east)	 (2,3) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -2
(67,west)	 (2,3) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -1
(67,pickup)	 (2,3) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -5
(67,dropoff)	 (2,3) ---> (2,3)	 2 ---> 2	0 ---> 0 	 -5
(68,south)	 (3,3) ---> (3,4)	 2 ---> 2	0 ---> 0 	 -1
(68,north)	 (3,3) ---> (3,2)	 2 ---> 2	0 ---> 0 	 -1
(68,east)	 (3,3) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -2
(68,west)	 (3,3) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -2
(68,pickup)	 (3,3) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -5
(68,dropoff)	 (3,3) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -5
(69,south)	 (4,3) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -2
(69,north)	 (4,3) ---> (4,2)	 2 ---> 2	0 ---> 0 	 -1
(69,east)	 (4,3) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -2
(69,west)	 (4,3) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -2
(69,pickup)	 (4,3) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -5
(69,dropoff)	 (4,3) ---> (4,3)	 2 ---> 2	0 ---> 0 	 -5
(70,south)	 (0,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -2
(70,north)	 (0,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -2
(70,east)	 (0,4) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -1
(70,west)	 (0,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -2
(70,pickup)	 (0,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -5
(70,dropoff)	 (0,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -5
(71,south)	 (1,4) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -2
(71,north)	 (1,4) ---> (1,3)	 2 ---> 2	0 ---> 0 	 -1
(71,east)	 (1,4) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -2
(71,west)	 (1,4) ---> (0,4)	 2 ---> 2	0 ---> 0 	 -1
(71,pickup)	 (1,4) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -5
(71,dropoff)	 (1,4) ---> (1,4)	 2 ---> 2	0 ---> 0 	 -5
(72,south)	 (2,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -2
(72,north)	 (2,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -2
(72,east)	 (2,4) ---> (3,4)	 2 ---> 2	0 ---> 0 	 -1
(72,west)	 (2,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -2
(72,pickup)	 (2,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -5
(72,dropoff)	 (2,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -5
(73,south)	 (3,4) ---> (3,4)	 2 ---> 2	0 ---> 0 	 -2
(73,north)	 (3,4) ---> (3,3)	 2 ---> 2	0 ---> 0 	 -1
(73,east)	 (3,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -1
(73,west)	 (3,4) ---> (2,4)	 2 ---> 2	0 ---> 0 	 -1
(73,pickup)	 (3,4) ---> (3,4)	 2 ---> 4	0 ---> 0 	 10
(73,dropoff)	 (3,4) ---> (3,4)	 2 ---> 2	0 ---> 0 	 -5
(74,south)	 (4,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -2
(74,north)	 (4,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -2
(74,east)	 (4,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -2
(74,west)	 (4,4) ---> (3,4)	 2 ---> 2	0 ---> 0 	 -1
(74,pickup)	 (4,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -5
(74,dropoff)	 (4,4) ---> (4,4)	 2 ---> 2	0 ---> 0 	 -5
(75,south)	 (0,0) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -1
(75,north)	 (0,0) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -2
(75,east)	 (0,0) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -1
(75,west)	 (0,0) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -2
(75,pickup)	 (0,0) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -5
(75,dropoff)	 (0,0) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -5
(76,south)	 (1,0) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -1
(76,north)	 (1,0) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -2
(76,east)	 (1,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -1
(76,west)	 (1,0) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -1
(76,pickup)	 (1,0) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -5
(76,dropoff)	 (1,0) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -5
(77,south)	 (2,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -2
(77,north)	 (2,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -2
(77,east)	 (2,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -1
(77,west)	 (2,0) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -1
(77,pickup)	 (2,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -5
(77,dropoff)	 (2,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -5
(78,south)	 (3,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -2
(78,north)	 (3,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -2
(78,east)	 (3,0) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -1
(78,west)	 (3,0) ---> (2,0)	 3 ---> 3	0 ---> 0 	 -1
(78,pickup)	 (3,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -5
(78,dropoff)	 (3,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -5
(79,south)	 (4,0) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -1
(79,north)	 (4,0) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -2
(79,east)	 (4,0) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -2
(79,west)	 (4,0) ---> (3,0)	 3 ---> 3	0 ---> 0 	 -1
(79,pickup)	 (4,0) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -5
(79,dropoff)	 (4,0) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -5
(80,south)	 (0,1) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -1
(80,north)	 (0,1) ---> (0,0)	 3 ---> 3	0 ---> 0 	 -1
(80,east)	 (0,1) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -2
(80,west)	 (0,1) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -2
(80,pickup)	 (0,1) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -5
(80,dropoff)	 (0,1) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -5
(81,south)	 (1,1) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -1
(81,north)	 (1,1) ---> (1,0)	 3 ---> 3	0 ---> 0 	 -1
(81,east)	 (1,1) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -2
(81,west)	 (1,1) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -2
(81,pickup)	 (1,1) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -5
(81,dropoff)	 (1,1) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -5
(82,south)	 (2,1) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -1
(82,north)	 (2,1) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -2
(82,east)	 (2,1) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -1
(82,west)	 (2,1) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -2
(82,pickup)	 (2,1) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -5
(82,dropoff)	 (2,1) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -5
(83,south)	 (3,1) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -1
(83,north)	 (3,1) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -2
(83,east)	 (3,1) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -2
(83,west)	 (3,1) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -1
(83,pickup)	 (3,1) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -5
(83,dropoff)	 (3,1) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -5
(84,south)	 (4,1) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -1
(84,north)	 (4,1) ---> (4,0)	 3 ---> 3	0 ---> 0 	 -1
(84,east)	 (4,1) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -2
(84,west)	 (4,1) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -2
(84,pickup)	 (4,1) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -5
(84,dropoff)	 (4,1) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -5
(85,south)	 (0,2) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -1
(85,north)	 (0,2) ---> (0,1)	 3 ---> 3	0 ---> 0 	 -1
(85,east)	 (0,2) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -2
(85,west)	 (0,2) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -2
(85,pickup)	 (0,2) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -5
(85,dropoff)	 (0,2) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -5
(86,south)	 (1,2) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -2
(86,north)	 (1,2) ---> (1,1)	 3 ---> 3	0 ---> 0 	 -1
(86,east)	 (1,2) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -2
(86,west)	 (1,2) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -2
(86,pickup)	 (1,2) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -5
(86,dropoff)	 (1,2) ---> (1,2)	 3 ---> 3	0 ---> 0 	 -5
(87,south)	 (2,2) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -1
(87,north)	 (2,2) ---> (2,1)	 3 ---> 3	0 ---> 0 	 -1
(87,east)	 (2,2) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -2
(87,west)	 (2,2) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -2
(87,pickup)	 (2,2) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -5
(87,dropoff)	 (2,2) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -5
(88,south)	 (3,2) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -1
(88,north)	 (3,2) ---> (3,1)	 3 ---> 3	0 ---> 0 	 -1
(88,east)	 (3,2) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -2
(88,west)	 (3,2) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -2
(88,pickup)	 (3,2) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -5
(88,dropoff)	 (3,2) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -5
(89,south)	 (4,2) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -1
(89,north)	 (4,2) ---> (4,1)	 3 ---> 3	0 ---> 0 	 -1
(89,east)	 (4,2) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -2
(89,west)	 (4,2) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -2
(89,pickup)	 (4,2) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -5
(89,dropoff)	 (4,2) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -5
(90,south)	 (0,3) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -2
(90,north)	 (0,3) ---> (0,2)	 3 ---> 3	0 ---> 0 	 -1
(90,east)	 (0,3) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -1
(90,west)	 (0,3) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -2
(90,pickup)	 (0,3) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -5
(90,dropoff)	 (0,3) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -5
(91,south)	 (1,3) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -1
(91,north)	 (1,3) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -2
(91,east)	 (1,3) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -1
(91,west)	 (1,3) ---> (0,3)	 3 ---> 3	0 ---> 0 	 -1
(91,pickup)	 (1,3) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -5
(91,dropoff)	 (1,3) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -5
(92,south)	 (2,3) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -2
(92,north)	 (2,3) ---> (2,2)	 3 ---> 3	0 ---> 0 	 -1
(92,east)	 (2,3) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -2
(92,west)	 (2,3) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -1
(92,pickup)	 (2,3) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -5
(92,dropoff)	 (2,3) ---> (2,3)	 3 ---> 3	0 ---> 0 	 -5
(93,south)	 (3,3) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -1
(93,north)	 (3,3) ---> (3,2)	 3 ---> 3	0 ---> 0 	 -1
(93,east)	 (3,3) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -2
(93,west)	 (3,3) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -2
(93,pickup)	 (3,3) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -5
(93,dropoff)	 (3,3) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -5
(94,south)	 (4,3) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -2
(94,north)	 (4,3) ---> (4,2)	 3 ---> 3	0 ---> 0 	 -1
(94,east)	 (4,3) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -2
(94,west)	 (4,3) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -2
(94,pickup)	 (4,3) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -5
(94,dropoff)	 (4,3) ---> (4,3)	 3 ---> 3	0 ---> 0 	 -5
(95,south)	 (0,4) ---> (0,4)	 3 ---> 3	0 ---> 0 	 -2
(95,north)	 (0,4) ---> (0,4)	 3 ---> 3	0 ---> 0 	 -2
(95,east)	 (0,4) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -1
(95,west)	 (0,4) ---> (0,4)	 3 ---> 3	0 ---> 0 	 -2
(95,pickup)	 (0,4) ---> (0,4)	 3 ---> 4	0 ---> 0 	 10
(95,dropoff)	 (0,4) ---> (0,4)	 3 ---> 3	0 ---> 0 	 -5
(96,south)	 (1,4) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -2
(96,north)	 (1,4) ---> (1,3)	 3 ---> 3	0 ---> 0 	 -1
(96,east)	 (1,4) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -2
(96,west)	 (1,4) ---> (0,4)	 3 ---> 3	0 ---> 0 	 -1
(96,pickup)	 (1,4) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -5
(96,dropoff)	 (1,4) ---> (1,4)	 3 ---> 3	0 ---> 0 	 -5
(97,south)	 (2,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -2
(97,north)	 (2,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -2
(97,east)	 (2,4) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -1
(97,west)	 (2,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -2
(97,pickup)	 (2,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -5
(97,dropoff)	 (2,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -5
(98,south)	 (3,4) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -2
(98,north)	 (3,4) ---> (3,3)	 3 ---> 3	0 ---> 0 	 -1
(98,east)	 (3,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -1
(98,west)	 (3,4) ---> (2,4)	 3 ---> 3	0 ---> 0 	 -1
(98,pickup)	 (3,4) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -5
(98,dropoff)	 (3,4) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -5
(99,south)	 (4,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -2
(99,north)	 (4,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -2
(99,east)	 (4,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -2
(99,west)	 (4,4) ---> (3,4)	 3 ---> 3	0 ---> 0 	 -1
(99,pickup)	 (4,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -5
(99,dropoff)	 (4,4) ---> (4,4)	 3 ---> 3	0 ---> 0 	 -5
(100,south)	 (0,0) ---> (0,1)	 4 ---> 4	0 ---> 0 	 -1
(100,north)	 (0,0) ---> (0,0)	 4 ---> 4	0 ---> 0 	 -2
(100,east)	 (0,0) ---> (1,0)	 4 ---> 4	0 ---> 0 	 -1
(100,west)	 (0,0) ---> (0,0)	 4 ---> 4	0 ---> 0 	 -2
(100,pickup)	 (0,0) ---> (0,0)	 4 ---> 4	0 ---> 0 	 -5
(100,dropoff)	 (0,0) ---> (0,0)	 4 ---> 0	0 ---> 0 	 50
(101,south)	 (1,0) ---> (1,1)	 4 ---> 4	0 ---> 0 	 -1
(101,north)	 (1,0) ---> (1,0)	 4 ---> 4	0 ---> 0 	 -2
(101,east)	 (1,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -1
(101,west)	 (1,0) ---> (0,0)	 4 ---> 4	0 ---> 0 	 -1
(101,pickup)	 (1,0) ---> (1,0)	 4 ---> 4	0 ---> 0 	 -5
(101,dropoff)	 (1,0) ---> (1,0)	 4 ---> 4	0 ---> 0 	 -5
(102,south)	 (2,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -2
(102,north)	 (2,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -2
(102,east)	 (2,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -1
(102,west)	 (2,0) ---> (1,0)	 4 ---> 4	0 ---> 0 	 -1
(102,pickup)	 (2,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -5
(102,dropoff)	 (2,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -5
(103,south)	 (3,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -2
(103,north)	 (3,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -2
(103,east)	 (3,0) ---> (4,0)	 4 ---> 4	0 ---> 0 	 -1
(103,west)	 (3,0) ---> (2,0)	 4 ---> 4	0 ---> 0 	 -1
(103,pickup)	 (3,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -5
(103,dropoff)	 (3,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -5
(104,south)	 (4,0) ---> (4,1)	 4 ---> 4	0 ---> 0 	 -1
(104,north)	 (4,0) ---> (4,0)	 4 ---> 4	0 ---> 0 	 -2
(104,east)	 (4,0) ---> (4,0)	 4 ---> 4	0 ---> 0 	 -2
(104,west)	 (4,0) ---> (3,0)	 4 ---> 4	0 ---> 0 	 -1
(104,pickup)	 (4,0) ---> (4,0)	 4 ---> 4	0 ---> 0 	 -5
(104,dropoff)	 (4,0) ---> (4,0)	 4 ---> 4	0 ---> 0 	 -5
(105,south)	 (0,1) ---> (0,2)	 4 ---> 4	0 ---> 0 	 -1
